stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
6258,103590,Rbla. Pompeu Fabra - Pl. Batista i Roca,41.3085416,2.00411273,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=103590
6262,109048,Jaume I - Pl. Lluís Companys,41.48183853,2.18848853,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109048
6267,109051,Ctra. de la Vallensana - Villa Carriles,41.4785299,2.19337818,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109051
6268,109052,Ctra. de la Vallensana - Ctra. de la Roca,41.47900927,2.19277526,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=109052
6274,108939,Av. Eduard Maristany - Av. de la Platja,41.42410996,2.22992982,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108939
6275,108940,Estació Rodalies Sant Adrià,41.42433091,2.23024054,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108940
6279,108529,Pl. Pep Ventura,41.44459824,2.23817375,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108529
6284,2985,Aiguablava - Tamariu,41.450115,2.184057,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=002985
6286,2968,Amadeu Torner,41.355497,2.123853,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=002968
6288,2970,Av. Granvia - Física,41.359303,2.128855,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=002970
6291,108543,Av. República Argentina - Boix,41.36333961,2.08187798,http://www.ambmobilitat.cat/Principales/DatosParada.aspx?linea=0&version=0&cerca=1&punto=108543
